N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.01,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
2.41,50000,-1.102563968,0.025766701,-0.005030096,0.094272307,0.0001141,5.51E-06,0.003682807,0.000146391,,,,,,,,,,,,,,
2.42,50000,-1.093777448,0.024176042,-0.018119584,0.082164981,9.97E-05,4.04E-06,0.002784621,0.000135206,,,,,,,,,,,,,,
2.43,50000,-1.084551504,0.025040559,-0.020786684,0.098508062,0.000105959,3.90E-06,0.003984991,0.000176281,,,,,,,,,,,,,,
2.44,50000,-1.071427944,0.02343099,-0.003462552,0.075709012,9.21E-05,4.41E-06,0.002342813,0.000113163,,,,,,,,,,,,,,
2.45,50000,-1.061618544,0.024077989,-0.002495936,0.084977602,9.63E-05,4.00E-06,0.002941489,0.000117989,,,,,,,,,,,,,,
2.46,50000,-1.055688992,0.024170398,0.010538916,0.077403772,9.64E-05,3.90E-06,0.002433594,0.000110345,,,,,,,,,,,,,,
2.47,50000,-1.047182617,0.024433497,-0.02506664,0.070256352,9.79E-05,4.28E-06,0.001997819,7.32E-05,,,,,,,,,,,,,,
2.48,50000,-1.035899488,0.023303277,0.015440228,0.075810876,8.81E-05,3.92E-06,0.00231727,0.000100919,,,,,,,,,,,,,,
2.49,50000,-1.02728976,0.023812857,0.003498116,0.06385024,9.13E-05,4.35E-06,0.001632493,8.30E-05,,,,,,,,,,,,,,
2.5,50000,-1.01931304,0.024097611,0.001486384,0.06744005,9.27E-05,4.55E-06,0.001815343,8.89E-05,,,,,,,,,,,,,,
2.51,50000,-1.009707848,0.023164551,-0.00197234,0.061485226,8.49E-05,3.98E-06,0.001503949,6.47E-05,,,,,,,,,,,,,,
2.52,50000,-1.002160136,0.023498533,0.006910212,0.055594778,8.68E-05,4.07E-06,0.001225324,4.72E-05,,,,,,,,,,,,,,
2.53,50000,-0.995241888,0.022669269,-0.00578214,0.0529654,8.02E-05,3.60E-06,0.001108151,5.79E-05,,,,,,,,,,,,,,
2.54,50000,-0.9869944,0.022685306,-0.010390444,0.060714114,7.97E-05,3.50E-06,0.001450453,7.12E-05,,,,,,,,,,,,,,
2.55,50000,-0.980028807,0.022616181,0.009131016,0.063746693,7.86E-05,3.76E-06,0.001590782,6.69E-05,,,,,,,,,,,,,,
2.56,50000,-0.970115664,0.022883709,-0.011111392,0.055685362,7.99E-05,3.62E-06,0.001210275,5.14E-05,,,,,,,,,,,,,,
2.57,50000,-0.965272047,0.022664227,0.008584932,0.047730163,7.77E-05,3.13E-06,0.000885761,3.48E-05,,,,,,,,,,,,,,
2.58,50000,-0.957139015,0.022749911,-0.005452236,0.055208882,7.78E-05,3.56E-06,0.001180443,5.14E-05,,,,,,,,,,,,,,
2.59,50000,-0.951470776,0.021717962,0.00735706,0.055316797,7.03E-05,3.07E-06,0.001179233,4.74E-05,,,,,,,,,,,,,,
2.6,50000,-0.943708424,0.020918831,0.003469884,0.049277238,6.48E-05,3.35E-06,0.000932724,4.22E-05,,,,,,,,,,,,,,
2.61,50000,-0.937207192,0.022308803,-0.001204072,0.053787933,7.30E-05,3.38E-06,0.001107009,5.38E-05,,,,,,,,,,,,,,
2.62,50000,-0.931297,0.02183566,0.009009972,0.050308408,6.92E-05,3.19E-06,0.000965207,4.90E-05,,,,,,,,,,,,,,
2.63,50000,-0.924355328,0.020878023,0.002569156,0.0489631,6.29E-05,2.41E-06,0.000910965,4.37E-05,,,,,,,,,,,,,,
2.64,50000,-0.91605292,0.021371117,-0.008750548,0.045157292,6.55E-05,3.11E-06,0.000771506,3.96E-05,,,,,,,,,,,,,,
2.65,50000,-0.910900328,0.021954665,-0.004882028,0.044830759,6.85E-05,2.42E-06,0.000756884,3.65E-05,,,,,,,,,,,,,,
2.66,50000,-0.90460496,0.02138091,-0.001436632,0.045624191,6.46E-05,2.88E-06,0.000782955,3.68E-05,,,,,,,,,,,,,,
2.67,50000,-0.899401232,0.021433985,-0.001857376,0.047340929,6.44E-05,2.49E-06,0.000838823,3.70E-05,,,,,,,,,,,,,,
2.68,50000,-0.891830992,0.021039879,0.001328644,0.041603956,6.16E-05,2.39E-06,0.000645712,3.11E-05,,,,,,,,,,,,,,
2.69,50000,-0.886693016,0.021023029,-0.006374504,0.040519884,6.10E-05,3.05E-06,0.000608335,2.19E-05,,,,,,,,,,,,,,
2.7,50000,-0.880850632,0.021137101,-0.003492712,0.041232674,6.12E-05,2.29E-06,0.000628192,2.63E-05,,,,,,,,,,,,,,
2.71,50000,-0.874341392,0.021265205,-0.002746768,0.045352396,6.15E-05,2.84E-06,0.000757901,3.65E-05,,,,,,,,,,,,,,
2.72,50000,-0.869943064,0.020791503,-0.004270408,0.040918093,5.84E-05,2.77E-06,0.000614926,2.98E-05,,,,,,,,,,,,,,
2.73,50000,-0.862447208,0.020438479,0.001800168,0.040033418,5.59E-05,2.96E-06,0.000585694,2.42E-05,,,,,,,,,,,,,,
2.74,50000,-0.858117256,0.020355507,-0.000688804,0.040017796,5.52E-05,2.76E-06,0.000583676,1.80E-05,,,,,,,,,,,,,,
2.75,50000,-0.852647448,0.02114009,-0.006555708,0.038823875,5.90E-05,3.06E-06,0.000547636,2.82E-05,,,,,,,,,,,,,,
2.76,50000,-0.84763984,0.020048213,0.00573762,0.042257966,5.28E-05,2.27E-06,0.000646765,2.65E-05,,,,,,,,,,,,,,
2.77,50000,-0.841840504,0.020718008,0.005674056,0.038509137,5.60E-05,2.53E-06,0.000534523,2.16E-05,,,,,,,,,,,,,,
2.78,50000,-0.83595396,0.020548609,0.00234812,0.038376106,5.46E-05,2.80E-06,0.000528727,2.06E-05,,,,,,,,,,,,,,
2.79,50000,-0.831765136,0.020852895,-0.004107248,0.040168478,5.58E-05,2.58E-06,0.000576986,3.03E-05,,,,,,,,,,,,,,
2.8,50000,-0.826021896,0.020249929,0.002428548,0.034481396,5.21E-05,2.60E-06,0.000424277,1.83E-05,,,,,,,,,,,,,,
2.81,50000,-0.82271364,0.020275311,0.006257292,0.037173885,5.20E-05,2.41E-06,0.000490374,1.98E-05,,,,,,,,,,,,,,
2.82,50000,-0.817275216,0.02032749,-0.001838516,0.037282009,5.19E-05,2.31E-06,0.000492682,2.41E-05,,,,,,,,,,,,,,
2.83,50000,-0.81190996,0.020098046,0.000363768,0.033349178,5.04E-05,2.14E-06,0.00039226,2.14E-05,,,,,,,,,,,,,,
2.84,50000,-0.807230624,0.020141147,0.000260084,0.035616395,5.02E-05,2.29E-06,0.000445599,2.06E-05,,,,,,,,,,,,,,
2.85,50000,-0.802734128,0.019395289,0.000479408,0.03500479,4.63E-05,2.11E-06,0.000429617,1.69E-05,,,,,,,,,,,,,,
2.86,50000,-0.798007344,0.020180561,0.003595668,0.035044226,4.97E-05,1.96E-06,0.000428984,1.79E-05,,,,,,,,,,,,,,
2.87,50000,-0.794050208,0.019505005,-0.002285832,0.036229239,4.61E-05,2.09E-06,0.000456903,2.20E-05,,,,,,,,,,,,,,
2.88,50000,-0.789286224,0.020338993,-0.002774768,0.032697974,4.98E-05,1.86E-06,0.000370411,2.09E-05,,,,,,,,,,,,,,
2.89,50000,-0.784548633,0.019392259,0.001994604,0.034308256,4.49E-05,1.73E-06,0.000406885,2.16E-05,,,,,,,,,,,,,,
