N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
100,1.2,3,0.005,0.1,50000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,50,FALSE,FALSE,50000,50000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,c_v,std_c_v,chi,std_chi,,,,,,,,,,,,,,
2.6,50000,-0.94081284,0.020971505,0.015349004,0.046225585,6.50E-05,3.06E-06,0.000819344,3.76E-05,,,,,,,,,,,,,,
2.605,50000,-0.941203312,0.021875811,-0.004035068,0.044631359,7.05E-05,2.65E-06,0.00076393,3.83E-05,,,,,,,,,,,,,,
2.61,50000,-0.935813296,0.021814353,-0.003972452,0.047907819,6.98E-05,3.48E-06,0.000878306,3.53E-05,,,,,,,,,,,,,,
2.615,50000,-0.933094264,0.021782732,0.00217846,0.050339458,6.94E-05,3.53E-06,0.000967677,3.87E-05,,,,,,,,,,,,,,
2.62,50000,-0.929715256,0.021857278,0.000843428,0.048179047,6.96E-05,3.40E-06,0.000883918,3.84E-05,,,,,,,,,,,,,,
2.625,50000,-0.926830744,0.021567184,0.005823832,0.047951543,6.74E-05,2.57E-06,0.000875547,3.62E-05,,,,,,,,,,,,,,
2.63,50000,-0.923120984,0.021279925,0.004749076,0.045953973,6.55E-05,2.41E-06,0.000801664,3.40E-05,,,,,,,,,,,,,,
2.635,50000,-0.918817352,0.022381398,-0.01037534,0.043620446,7.21E-05,3.44E-06,0.000720425,3.50E-05,,,,,,,,,,,,,,
2.64,50000,-0.917452632,0.021923788,0.002106964,0.045163374,6.89E-05,3.08E-06,0.00077084,3.50E-05,,,,,,,,,,,,,,
2.645,50000,-0.913138424,0.021755983,-0.01230472,0.048026119,6.75E-05,3.06E-06,0.000870814,3.60E-05,,,,,,,,,,,,,,
2.65,50000,-0.910789848,0.021704755,-0.001258256,0.046085445,6.71E-05,2.76E-06,0.000800553,3.93E-05,,,,,,,,,,,,,,
2.655,50000,-0.906173264,0.021577311,0.008630776,0.046365883,6.59E-05,2.62E-06,0.000809675,3.93E-05,,,,,,,,,,,,,,
