N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,10000,100,0,1,0,4,FALSE,FALSE,data,FALSE,,1,TRUE,10,FALSE,FALSE,10000,10000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,,,,,,,,,,,,,,,,,,
2.7,10000,-0.889722999,0.105874705,-0.0179515,0.21674243,0.001542872,6.82E-05,0.01725661,0.000759533,,,,,,,,,,,,,,
2.71,10000,-0.873462999,0.096488225,0.00198,0.164432021,0.001270305,4.00E-05,0.009933497,0.0002396,,,,,,,,,,,,,,
2.72,10000,-0.880810999,0.107297587,-0.002244,0.200448034,0.001558842,9.15E-05,0.014681259,0.000682919,,,,,,,,,,,,,,
2.73,10000,-0.861423999,0.096529436,-0.0056195,0.166673044,0.001249672,6.48E-05,0.010135274,0.00037815,,,,,,,,,,,,,,
2.74,10000,-0.868887999,0.106213198,-0.023185,0.233597251,0.001503008,5.86E-05,0.019760525,0.000599748,,,,,,,,,,,,,,
2.75,10000,-0.862303999,0.108569109,0.023003,0.210829521,0.001564437,7.43E-05,0.016162566,0.000660365,,,,,,,,,,,,,,
2.76,10000,-0.851517999,0.100299131,0.025355,0.192162662,0.001321234,7.41E-05,0.013355766,0.000573663,,,,,,,,,,,,,,
2.77,10000,-0.849585999,0.101605652,0.0084655,0.188914379,0.001342259,4.52E-05,0.012818569,0.000387801,,,,,,,,,,,,,,
2.78,10000,-0.835568,0.09996428,-0.013596,0.163454929,0.001310295,4.73E-05,0.009674354,0.000314647,,,,,,,,,,,,,,
2.79,10000,-0.836661999,0.095947474,0.071957,0.143812934,0.001173522,3.99E-05,0.007475384,0.00037732,,,,,,,,,,,,,,
2.8,10000,-0.840779999,0.107197721,-0.004771,0.215262938,0.001451784,7.56E-05,0.01661755,0.001051783,,,,,,,,,,,,,,
2.81,10000,-0.834126,0.098911051,0.0247525,0.189950352,0.001226095,2.41E-05,0.012882451,0.000657441,,,,,,,,,,,,,,
2.82,10000,-0.824377999,0.100047154,-0.055065,0.16538141,0.001253929,5.99E-05,0.009637525,0.000412578,,,,,,,,,,,,,,
2.83,10000,-0.803706999,0.093740536,0.0097625,0.173672136,0.001092048,4.48E-05,0.010659501,0.000313058,,,,,,,,,,,,,,
2.84,10000,-0.808844999,0.094650704,0.0628975,0.154608253,0.001111207,4.28E-05,0.008411372,0.00032539,,,,,,,,,,,,,,
2.85,10000,-0.809666,0.097767317,0.005392,0.1900097,0.001169228,3.57E-05,0.012578195,0.000258073,,,,,,,,,,,,,,
2.86,10000,-0.812967999,0.099280768,0.024806,0.171907002,0.001195318,5.14E-05,0.010379379,0.000408001,,,,,,,,,,,,,,
2.87,10000,-0.791868,0.092836364,0.017999,0.137730011,0.001040721,4.32E-05,0.006660778,0.000126107,,,,,,,,,,,,,,
2.88,10000,-0.797815,0.106262767,-0.044177,0.194851155,0.00136835,7.79E-05,0.0131336,0.00035906,,,,,,,,,,,,,,
2.89,10000,-0.793084,0.099374991,0.015094,0.153486485,0.001180364,5.95E-05,0.008134545,0.000324353,,,,,,,,,,,,,,
2.9,10000,-0.787076,0.103295354,-0.0197565,0.183384768,0.00125792,3.83E-05,0.011619927,0.000498012,,,,,,,,,,,,,,
2.91,10000,-0.787568999,0.100156478,0.007827,0.17364073,0.00117582,3.66E-05,0.010411257,0.000418532,,,,,,,,,,,,,,
2.92,10000,-0.782896,0.098421101,0.014726,0.160386922,0.001127295,4.93E-05,0.008824686,0.000375043,,,,,,,,,,,,,,
2.93,10000,-0.764996,0.097775661,-0.0046315,0.155132143,0.001115063,4.24E-05,0.008228701,0.000329911,,,,,,,,,,,,,,
2.94,10000,-0.77202,0.095815654,0.049508,0.156580037,0.001053021,3.29E-05,0.008362675,0.00024898,,,,,,,,,,,,,,
2.95,10000,-0.748286,0.094763401,-0.0147435,0.127489281,0.001038175,2.90E-05,0.005522294,0.000160164,,,,,,,,,,,,,,
2.96,10000,-0.767198,0.098033508,0.0063985,0.154441467,0.00109646,5.82E-05,0.008083819,0.000309795,,,,,,,,,,,,,,
2.97,10000,-0.753317,0.092238535,0.0477455,0.152264703,0.000959116,5.29E-05,0.007759378,0.000268334,,,,,,,,,,,,,,
2.98,10000,-0.762204,0.101733093,0.0268485,0.166819964,0.001164977,4.16E-05,0.009269286,0.000367472,,,,,,,,,,,,,,
2.99,10000,-0.74853,0.092634221,-0.013623,0.150577435,0.000965667,1.77E-05,0.007569296,0.000192087,,,,,,,,,,,,,,
3,10000,-0.737631,0.098801405,-0.0050675,0.154597438,0.001084068,4.83E-05,0.007928682,0.000288381,,,,,,,,,,,,,,
