N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.269,TRUE,0.2,0.002,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
2.599,5000,-0.9646,0.10661196,0.124303,0.227860723,0.001670355,0.000100003,0.020006195,0.000978392,,,,,,,,,,,,,,,,,,
2.609,5000,-0.979585,0.100309784,-0.084556,0.279140758,0.00146637,6.77E-05,0.029934035,0.001471912,,,,,,,,,,,,,,,,,,
2.619,5000,-0.961988,0.103301974,0.120616,0.214256203,0.001545728,8.92E-05,0.017549968,0.000913861,,,,,,,,,,,,,,,,,,
2.629,5000,-0.935366,0.117153771,-0.064927,0.210517861,0.00196884,0.000135129,0.016677077,0.001026767,,,,,,,,,,,,,,,,,,
2.639,5000,-0.944377,0.106510079,-0.043496,0.265054406,0.001632956,0.000128475,0.02648047,0.000631283,,,,,,,,,,,,,,,,,,
2.649,5000,-0.927961,0.108709004,-0.037642,0.232003857,0.001693255,0.000144765,0.020446221,0.001344826,,,,,,,,,,,,,,,,,,
2.659,5000,-0.925437,0.106791872,0.002209,0.208500804,0.00160953,0.000163695,0.016208332,0.000856758,,,,,,,,,,,,,,,,,,
2.669,5000,-0.945209,0.09741982,-0.043352,0.249424225,0.001329525,8.98E-05,0.023180069,0.001140683,,,,,,,,,,,,,,,,,,
2.679,5000,-0.934461,0.104605136,-0.114928,0.237009651,0.001530765,0.000117629,0.020847938,0.000723711,,,,,,,,,,,,,,,,,,
2.689,5000,-0.933486,0.105791152,0.068522,0.284211076,0.001534395,8.03E-05,0.030173482,0.001493548,,,,,,,,,,,,,,,,,,
2.699,5000,-0.906659,0.099254585,-0.063209,0.179416073,0.001359061,0.000114291,0.011929159,0.000712247,,,,,,,,,,,,,,,,,,
2.709,5000,-0.896481,0.11051236,-0.021617,0.192151061,0.001669762,0.000105603,0.013633321,0.001042417,,,,,,,,,,,,,,,,,,
2.719,5000,-0.898196,0.098663193,0.015395,0.241682951,0.001325503,4.63E-05,0.021346841,0.001181966,,,,,,,,,,,,,,,,,,
2.729,5000,-0.89604,0.101557316,0.050806,0.230065426,0.001384934,6.59E-05,0.019257104,0.001241696,,,,,,,,,,,,,,,,,,
2.739,5000,-0.887574,0.100766634,0.002986,0.196384734,0.001351101,7.60E-05,0.014004574,0.000657594,,,,,,,,,,,,,,,,,,
2.749,5000,-0.879473,0.10642442,-0.133016,0.176808099,0.001503474,8.70E-05,0.011398607,0.000572752,,,,,,,,,,,,,,,,,,
2.759,5000,-0.903671,0.099359493,0.031944,0.230046062,0.001293419,0.000100395,0.019078489,0.000668608,,,,,,,,,,,,,,,,,,
2.769,5000,-0.897543,0.110231793,0.075987,0.23178158,0.001595945,0.000122681,0.019452127,0.000709975,,,,,,,,,,,,,,,,,,
2.779,5000,-0.840261,0.098660868,-0.042859,0.195701612,0.001256741,7.92E-05,0.013742694,0.000816484,,,,,,,,,,,,,,,,,,
2.789,5000,-0.865136,0.09708631,-0.025739,0.197636709,0.001215939,7.40E-05,0.014007316,0.000692982,,,,,,,,,,,,,,,,,,
2.799,5000,-0.86293,0.106660513,0.005146,0.201032308,0.001443489,9.40E-05,0.014371132,0.000637396,,,,,,,,,,,,,,,,,,
2.809,5000,-0.852656,0.090113904,-0.047842,0.157473531,0.001025498,8.51E-05,0.00873719,0.000492728,,,,,,,,,,,,,,,,,,
2.819,5000,-0.81849,0.089823215,-0.041448,0.165315285,0.001020224,6.55E-05,0.009637835,0.000749762,,,,,,,,,,,,,,,,,,
2.829,5000,-0.837477,0.106069314,-0.066495,0.194069189,0.001403752,8.54E-05,0.013284169,0.000712534,,,,,,,,,,,,,,,,,,
2.839,5000,-0.838127,0.100305468,0.083947,0.162869046,0.001238842,5.12E-05,0.009369808,0.000331442,,,,,,,,,,,,,,,,,,
2.849,5000,-0.839265,0.089627255,0.013691,0.212852652,0.000995232,4.50E-05,0.015842939,0.000680903,,,,,,,,,,,,,,,,,,
2.859,5000,-0.837247,0.101962866,0.026573,0.195307221,0.001259134,4.01E-05,0.013129744,0.000844316,,,,,,,,,,,,,,,,,,
2.869,5000,-0.819185,0.095031578,0.104439,0.169547634,0.001100698,8.14E-05,0.009965572,0.000485381,,,,,,,,,,,,,,,,,,
2.879,5000,-0.830184,0.097416303,0.01895,0.167720117,0.001142084,7.49E-05,0.009747129,0.000383365,,,,,,,,,,,,,,,,,,
2.889,5000,-0.837431,0.10182296,-0.081364,0.164287673,0.001229718,5.16E-05,0.009266884,0.000385941,,,,,,,,,,,,,,,,,,
2.899,5000,-0.808733,0.084596689,-0.027684,0.146946576,0.000854132,3.81E-05,0.007490918,0.000354128,,,,,,,,,,,,,,,,,,
2.909,5000,-0.797462,0.092308009,-0.048705,0.165359179,0.001006775,6.24E-05,0.009350249,0.000550658,,,,,,,,,,,,,,,,,,
2.919,5000,-0.806909,0.106068236,0.04268,0.173603219,0.001306889,6.64E-05,0.010352342,0.0005305,,,,,,,,,,,,,,,,,,
2.929,5000,-0.805602,0.099538875,0.059044,0.153083494,0.001150832,5.16E-05,0.007930069,0.000283861,,,,,,,,,,,,,,,,,,
2.939,5000,-0.800212,0.091902095,-0.032459,0.144665194,0.000968981,4.32E-05,0.007182118,0.000496591,,,,,,,,,,,,,,,,,,
2.949,5000,-0.786667,0.094720357,0.006572,0.133372107,0.001027421,8.02E-05,0.006013947,0.000287995,,,,,,,,,,,,,,,,,,
2.959,5000,-0.768068,0.093398219,-0.081578,0.176523058,0.00098226,5.09E-05,0.010512338,0.000729531,,,,,,,,,,,,,,,,,,
2.969,5000,-0.774211,0.096445645,0.017694,0.161074183,0.001057116,3.83E-05,0.008637084,0.000375195,,,,,,,,,,,,,,,,,,
2.979,5000,-0.779329,0.104680584,-0.028985,0.171729161,0.001240154,6.68E-05,0.009772088,0.000605137,,,,,,,,,,,,,,,,,,
2.989,5000,-0.768383,0.089699612,-0.050286,0.147991311,0.000891584,2.98E-05,0.007235393,0.000373716,,,,,,,,,,,,,,,,,,
2.999,5000,-0.782972,0.09928921,0.03867,0.18151003,0.001099583,8.91E-05,0.011124997,0.000577716,,,,,,,,,,,,,,,,,,
3,5000,-0.76228,0.085312259,0.026366,0.134175013,0.000812065,3.72E-05,0.006007954,0.000403994,,,,,,,,,,,,,,,,,,
