N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.269,TRUE,0.2,0.002,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,,,,,,,,
2.203,100,0.004321066,0.000878566,-0.000573934,-0.001209592,-0.001572092,-0.001898934,-0.002190776,-0.002344987,-0.002389987,0.003509964,0.002154605,0.00135979,0.00086362,0.000869104,0.001329058,0.001828029,0.002287001,0.002651276,,,,,,,,
2.205,100,0.005153184,0.001247789,-0.000548526,-0.001386289,-0.001905105,-0.002173789,-0.002427868,-0.002566421,-0.002697342,0.003950265,0.002406008,0.001324631,0.000896605,0.001143354,0.001681807,0.001959219,0.002272551,0.002508456,,,,,,,,
2.207,100,0.004570421,0.000989237,-0.000425895,-0.001229316,-0.001705237,-0.002063789,-0.002351947,-0.002358395,-0.002476158,0.003832106,0.002227345,0.001152982,0.000832416,0.001154718,0.001526273,0.001948883,0.00221903,0.002359227,,,,,,,,
2.209,100,0.005077829,0.001295592,-0.000431382,-0.001425724,-0.001966118,-0.002327697,-0.00254125,-0.002668882,-0.002718092,0.003578746,0.002320293,0.001403911,0.001019951,0.001082958,0.001443439,0.001909658,0.002221363,0.002495928,,,,,,,,
2.211,100,0.005816276,0.001654303,-0.000201355,-0.001324645,-0.002075434,-0.002563987,-0.002824776,-0.002989645,-0.003007671,0.004520237,0.002616302,0.001505947,0.001207548,0.001452351,0.001814026,0.002173101,0.002407464,0.002679784,,,,,,,,
2.213,100,0.004868974,0.001050026,-0.000661947,-0.001563789,-0.001929184,-0.002147868,-0.002162737,-0.002378658,-0.002316026,0.002876516,0.001560101,0.001033281,0.000916528,0.001014566,0.001222187,0.001361414,0.001530373,0.001706249,,,,,,,,
2.215,100,0.003055671,0.000201461,-0.000739724,-0.001199855,-0.001323934,-0.001439066,-0.001524197,-0.001552224,-0.001593934,0.002473511,0.001174613,0.00075759,0.000734875,0.000882763,0.001053902,0.00109661,0.001189752,0.001395548,,,,,,,,
2.217,100,0.008227184,0.003193105,0.000533895,-0.001201368,-0.002408868,-0.003289132,-0.003994263,-0.004475447,-0.004922158,0.005536931,0.003815046,0.002262171,0.00121939,0.001356332,0.002231988,0.003021426,0.00357572,0.004104881,,,,,,,,
2.219,100,0.005161382,0.001321513,-0.000388618,-0.001353882,-0.001898882,-0.002159671,-0.002424408,-0.002629803,-0.002795855,0.003465272,0.002121382,0.001312713,0.000846733,0.001033868,0.001376671,0.001707324,0.002061082,0.002331094,,,,,,,,
2.221,100,0.004780987,0.001154934,-0.00055125,-0.001381382,-0.001876382,-0.002211645,-0.002202566,-0.002423487,-0.002562961,0.003421547,0.002000371,0.001110421,0.000998013,0.001125881,0.001600607,0.001707971,0.001797787,0.001918192,,,,,,,,
2.223,100,0.004660934,0.000796197,-0.000818803,-0.001640645,-0.001865776,-0.002031303,-0.002207487,-0.002194592,-0.002233671,0.002906408,0.001588729,0.001082514,0.000887753,0.001106926,0.001167102,0.001287593,0.001479498,0.001615986,,,,,,,,
2.225,100,0.003464539,0.000202961,-0.00092625,-0.001336382,-0.001516118,-0.001563618,-0.001542566,-0.001694803,-0.001697171,0.002165508,0.001128226,0.000685383,0.000678482,0.000811673,0.00093113,0.001034608,0.001010106,0.001129045,,,,,,,,
2.227,100,0.010774171,0.004876539,0.001375092,-0.001155697,-0.002969513,-0.004248461,-0.005240829,-0.005965566,-0.006547145,0.006948361,0.004772772,0.002914919,0.001701911,0.001577182,0.00249368,0.003554343,0.004494749,0.00540429,,,,,,,,
2.229,100,0.003479974,0.000416816,-0.000859632,-0.001322789,-0.001605158,-0.001610158,-0.001626342,-0.001704763,-0.001780026,0.002299065,0.001259946,0.000888794,0.000797973,0.000905284,0.001017396,0.001131436,0.001155141,0.001192865,,,,,,,,
2.231,100,0.007712855,0.002538382,-5.70E-05,-0.001640697,-0.002584776,-0.003283855,-0.003702408,-0.003876618,-0.004072803,0.004450978,0.003030798,0.001796886,0.001088275,0.001373365,0.001867629,0.0023847,0.002766825,0.003005737,,,,,,,,
2.233,100,0.005240303,0.001168592,-0.000555224,-0.001557197,-0.002074434,-0.002561539,-0.002581934,-0.002571013,-0.002552855,0.003136972,0.001859802,0.001223859,0.000913409,0.00117925,0.001503302,0.001659518,0.001695591,0.001976557,,,,,,,,
2.235,100,0.005181329,0.001314355,-0.000630513,-0.001578803,-0.002187355,-0.002448803,-0.002388539,-0.002396171,-0.002517487,0.003774369,0.002258222,0.001216807,0.001052885,0.001485451,0.001782152,0.001871471,0.002016912,0.002100082,,,,,,,,
2.237,100,0.004630513,0.000949066,-0.000650671,-0.001468039,-0.001859882,-0.002128566,-0.002169618,-0.002343434,-0.002485803,0.003537867,0.002039826,0.001059517,0.000860628,0.001259791,0.001490311,0.001718935,0.001913658,0.002140593,,,,,,,,
2.239,100,0.004294118,0.000704776,-0.000750882,-0.001402987,-0.001746539,-0.001964961,-0.001992197,-0.002028645,-0.002128645,0.002946092,0.00175451,0.000945386,0.000835468,0.000989668,0.001260373,0.001414461,0.001498491,0.001611734,,,,,,,,
2.241,100,0.006044408,0.001657434,-0.000365592,-0.001436382,-0.002105987,-0.002560987,-0.002830855,-0.003153882,-0.003194145,0.004272693,0.002852492,0.001697628,0.001179434,0.001141095,0.001778175,0.002208281,0.002509468,0.002926333,,,,,,,,
2.243,100,0.007023487,0.00223625,6.24E-05,-0.001354803,-0.002193882,-0.002926645,-0.003380329,-0.003829539,-0.00401375,0.005625526,0.003532432,0.002299505,0.001314151,0.001385301,0.00213154,0.002884873,0.003714994,0.00416934,,,,,,,,
2.245,100,0.00953475,0.004191724,0.000994355,-0.001037882,-0.002599592,-0.003731566,-0.004770513,-0.005455513,-0.005868145,0.006861296,0.004200262,0.002277835,0.001135602,0.001579212,0.002592765,0.003539961,0.004507862,0.004845934,,,,,,,,
2.247,100,0.012720803,0.006088039,0.002124487,-0.000714066,-0.003034461,-0.004988539,-0.006531566,-0.007623013,-0.008364592,0.006591121,0.004551161,0.00290409,0.001751343,0.001536262,0.002516374,0.003699033,0.004633385,0.005322216,,,,,,,,
2.249,100,0.003618289,0.000482237,-0.000753553,-0.001396842,-0.001709737,-0.001837368,-0.001855395,-0.001686842,-0.001733158,0.002703079,0.001733591,0.000915713,0.000852719,0.001012203,0.001333904,0.001393775,0.001484486,0.001599767,,,,,,,,
2.251,100,0.004897158,0.000832816,-0.000910737,-0.001662842,-0.002099421,-0.002334289,-0.002309421,-0.002178368,-0.002095605,0.002948875,0.001527132,0.000888677,0.000966406,0.001230341,0.001353459,0.001395681,0.001553398,0.001626236,,,,,,,,
2.253,100,0.006557829,0.001878487,-0.000402039,-0.001670592,-0.002371382,-0.002774803,-0.003083487,-0.003377829,-0.003474934,0.004554369,0.002434952,0.001331654,0.001241479,0.001587589,0.001902572,0.002153062,0.002301144,0.00249348,,,,,,,,
2.255,100,0.006464803,0.001738092,-0.00046125,-0.001573882,-0.002327697,-0.002721776,-0.002997566,-0.003259145,-0.003227434,0.005105708,0.003123492,0.001688908,0.001074946,0.001730222,0.002242713,0.002633732,0.002848883,0.002998015,,,,,,,,
2.257,100,0.005425263,0.001426053,-0.000606579,-0.001594474,-0.002060263,-0.002353421,-0.002591184,-0.002796842,-0.002825395,0.004862505,0.002783279,0.001555987,0.001135543,0.00145874,0.001739194,0.002306119,0.002723415,0.002976658,,,,,,,,
2.259,100,0.006299342,0.001857632,-0.000193421,-0.001244868,-0.001998816,-0.002576184,-0.002971579,-0.003416842,-0.003683816,0.004495061,0.002778971,0.001652603,0.001109006,0.001193349,0.00181547,0.002301039,0.002771487,0.003162988,,,,,,,,
2.261,100,0.007592789,0.002597526,0.000116211,-0.001330632,-0.002370763,-0.003293789,-0.003907211,-0.004135105,-0.004322342,0.005280062,0.003609202,0.002275572,0.001452678,0.001370006,0.002047866,0.002880031,0.003663595,0.004227343,,,,,,,,
2.263,100,0.007480566,0.002287671,-7.31E-05,-0.001586539,-0.002325487,-0.002969961,-0.003591671,-0.003914303,-0.004095882,0.005510946,0.003382475,0.001918409,0.001130498,0.00136076,0.002159858,0.002898161,0.003454547,0.003851972,,,,,,,,
2.265,100,0.007454,0.002629,0.000232289,-0.001270079,-0.002293895,-0.003125079,-0.003804553,-0.004083895,-0.004352316,0.004606133,0.003091613,0.00191231,0.001107487,0.001275828,0.001940032,0.002640994,0.002952646,0.003446996,,,,,,,,
2.267,100,0.005799553,0.001289158,-0.0005415,-0.001600579,-0.002204658,-0.002536632,-0.002832816,-0.0028115,-0.002858737,0.003323126,0.002071365,0.001183197,0.000828264,0.001230316,0.001524016,0.001731417,0.001834842,0.001904503,,,,,,,,
2.269,100,0.009013658,0.003431553,0.000274184,-0.001725684,-0.0030095,-0.003821605,-0.004433842,-0.004745158,-0.005040026,0.005350467,0.003425306,0.001917448,0.001293392,0.001480609,0.00218963,0.002740123,0.003218919,0.003938186,,,,,,,,
2.271,100,0.006918474,0.001904,-0.000530474,-0.001756789,-0.002486526,-0.002886658,-0.003155342,-0.003319816,-0.003588632,0.00400676,0.002697018,0.001729135,0.001276653,0.001270092,0.0016793,0.002037958,0.00240881,0.002648508,,,,,,,,
2.273,100,0.011343842,0.004864895,0.001238579,-0.001343921,-0.0031155,-0.004482605,-0.005517474,-0.006282342,-0.0065705,0.005676957,0.004045087,0.002668653,0.001738629,0.001755767,0.002279485,0.002995483,0.00378856,0.004255964,,,,,,,,
