Time (s),volts (V),Time unc.,volts unc.
0.0151,-2.76,0.0002,0.05
0.03,-2.54,0.0002,0.05
0.0451,-2.12,0.0002,0.05
0.0603,-1.88,0.0002,0.05
0.0752,-1.6,0.0002,0.05
0.0904,-1.38,0.0002,0.05
0.1055,-1.16,0.0002,0.05
0.1204,-1,0.0002,0.05
0.1354,-0.86,0.0002,0.05
