Time (s),volts (V),Time unc.,volts unc.
0.0153,-2.22,0.0002,0.05
0.0301,-2.12,0.0002,0.05
0.0452,-1.88,0.0002,0.05
0.0602,-1.74,0.0002,0.05
0.0753,-1.52,0.0002,0.05
0.0901,-1.36,0.0002,0.05
0.1055,-1.24,0.0002,0.05
0.1206,-1.14,0.0002,0.05
0.1354,-1,0.0002,0.05
