Time (s),volts (V),Time unc.,volts unc.
0.0253,-1.5,0.0002,0.05
0.0502,-1.42,0.0002,0.05
0.0752,-1.24,0.0002,0.05
0.1002,-1.14,0.0002,0.05
0.1253,-1,0.0002,0.05
0.1504,-0.92,0.0002,0.05
0.1754,-0.84,0.0002,0.05
0.2006,-0.76,0.0002,0.05
0.2257,-0.66,0.0002,0.05
