Time (s),volts (V),Time unc.,volts unc.
0.0252,-0.984,0.0002,0.05
0.0503,-0.984,0.0002,0.05
0.0752,-0.904,0.0002,0.05
0.1006,-0.8,0.0002,0.05
0.1254,-0.808,0.0002,0.05
0.1506,-0.76,0.0002,0.05
0.1755,-0.72,0.0002,0.05
0.2005,-0.68,0.0002,0.05
0.2256,-0.64,0.0002,0.05
