N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
150,1.2,3,0.01,0.1,5000,100,0,1,0,4,2.5,TRUE,0.2,0.04,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,10000,2000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,E_mean,E_std,M_mean,M_std,C_mean,C_std,chi_mean,chi_std,,,,,,,,,,,,,,,,,,
1.56,5000,-1.898338204,0.011910446,-0.698750898,0.062705418,5.78E-05,3.71E-06,0.002519917,0.000151665,,,,,,,,,,,,,,,,,,
1.57,5000,-1.87589392,0.006755012,0.179761636,0.051232601,1.81E-05,8.43E-07,0.001663242,4.54E-05,,,,,,,,,,,,,,,,,,
1.58,5000,-1.86356304,0.007537832,-0.373225156,0.029982618,2.28E-05,1.51E-06,0.000563058,3.42E-05,,,,,,,,,,,,,,,,,,
1.59,5000,-1.859883609,0.007686016,-0.245311538,0.027628316,2.34E-05,1.15E-06,0.000479497,1.21E-05,,,,,,,,,,,,,,,,,,
1.6,5000,-1.884024693,0.008926673,0.706922649,0.062221225,3.08E-05,1.82E-06,0.002411867,0.000107793,,,,,,,,,,,,,,,,,,
1.61,5000,-1.847619431,0.007774603,0.0506776,0.040195458,2.33E-05,1.56E-06,0.001002483,3.72E-05,,,,,,,,,,,,,,,,,,
1.62,5000,-1.850033102,0.008915349,0.300266773,0.063097206,3.02E-05,9.31E-07,0.002458546,7.11E-05,,,,,,,,,,,,,,,,,,
1.63,5000,-1.872633013,0.010724674,-0.577167911,0.053678272,4.33E-05,2.04E-06,0.001766473,6.36E-05,,,,,,,,,,,,,,,,,,
1.64,5000,-1.861544907,0.01209626,0.432542329,0.057216297,5.52E-05,1.98E-06,0.001987739,0.000135228,,,,,,,,,,,,,,,,,,
1.65,5000,-1.84192368,0.008657912,0.076835662,0.027385076,2.73E-05,2.13E-06,0.000455586,1.75E-05,,,,,,,,,,,,,,,,,,
1.66,5000,-1.840127964,0.012927181,0.566545493,0.081149758,6.03E-05,3.11E-06,0.00394509,0.000120862,,,,,,,,,,,,,,,,,,
1.67,5000,-1.8475984,0.008146208,-0.383481209,0.043088576,2.41E-05,8.49E-07,0.001113428,6.28E-05,,,,,,,,,,,,,,,,,,
1.68,5000,-1.839613796,0.008305481,0.481388124,0.034996723,2.45E-05,1.28E-06,0.000726009,3.32E-05,,,,,,,,,,,,,,,,,,
1.69,5000,-1.845215431,0.009514434,-0.531934418,0.052372209,3.17E-05,1.56E-06,0.001611544,3.12E-05,,,,,,,,,,,,,,,,,,
