-5.00E-05,1.00E-06,-0.0034688,1.21E-05,,,
-4.96E-05,9.93E-07,-0.0034441,1.21E-05,,,
-4.92E-05,9.86E-07,-0.0034163,1.17E-05,,,
-4.88E-05,9.78E-07,-0.0033862,1.21E-05,,,
-4.84E-05,9.70E-07,-0.0033586,1.14E-05,,,
-4.80E-05,9.62E-07,-0.0033267,1.22E-05,,,
-4.76E-05,9.54E-07,-0.0032991,1.18E-05,,,
-4.72E-05,9.46E-07,-0.0032672,1.32E-05,,,
-4.69E-05,9.38E-07,-0.0032409,1.20E-05,,,
-4.65E-05,9.30E-07,-0.0032117,1.17E-05,,,
-4.61E-05,9.23E-07,-0.0031841,1.28E-05,,,
-4.57E-05,9.15E-07,-0.0031514,1.16E-05,,,
-4.53E-05,9.07E-07,-0.00312,1.27E-05,,,
-4.49E-05,8.99E-07,-0.0030956,1.15E-05,,,
-4.45E-05,8.91E-07,-0.0030632,1.22E-05,,,
-4.41E-05,8.83E-07,-0.0030362,1.18E-05,,,
-4.37E-05,8.75E-07,-0.0030042,1.20E-05,,,
-4.33E-05,8.68E-07,-0.0029795,1.21E-05,,,
-4.29E-05,8.60E-07,-0.0029487,1.15E-05,,,
-4.25E-05,8.52E-07,-0.0029196,1.23E-05,,,
-4.21E-05,8.44E-07,-0.0028898,1.17E-05,,,
-4.17E-05,8.36E-07,-0.0028585,1.24E-05,,,
-4.13E-05,8.28E-07,-0.0028333,1.18E-05,,,
-4.09E-05,8.20E-07,-0.0028008,1.22E-05,,,
-4.06E-05,8.13E-07,-0.0027694,1.25E-05,,,
-4.02E-05,8.05E-07,-0.0027408,1.17E-05,,,
-3.98E-05,7.97E-07,-0.0027112,1.20E-05,,,
-3.94E-05,7.89E-07,-0.0026824,1.21E-05,,,
-3.90E-05,7.81E-07,-0.002653,1.19E-05,,,
-3.86E-05,7.73E-07,-0.0026268,1.17E-05,,,
-3.82E-05,7.65E-07,-0.0025948,1.23E-05,,,
-3.78E-05,7.58E-07,-0.0025665,1.24E-05,,,
-3.74E-05,7.50E-07,-0.0025373,1.26E-05,,,
-3.70E-05,7.42E-07,-0.0025095,1.27E-05,,,
-3.66E-05,7.34E-07,-0.0024822,1.18E-05,,,
-3.62E-05,7.26E-07,-0.0024509,1.23E-05,,,
-3.58E-05,7.18E-07,-0.002422,1.19E-05,,,
-3.54E-05,7.10E-07,-0.0023895,1.24E-05,,,
-3.50E-05,7.03E-07,-0.0023651,1.19E-05,,,
-3.46E-05,6.95E-07,-0.002333,1.17E-05,,,
-3.43E-05,6.87E-07,-0.0023062,1.25E-05,,,
-3.39E-05,6.79E-07,-0.002276,1.17E-05,,,
-3.35E-05,6.71E-07,-0.0022474,1.32E-05,,,
-3.31E-05,6.63E-07,-0.0022226,1.16E-05,,,
-3.27E-05,6.55E-07,-0.0021916,1.28E-05,,,
-3.23E-05,6.48E-07,-0.0021671,1.18E-05,,,
-3.19E-05,6.40E-07,-0.0021364,1.21E-05,,,
-3.15E-05,6.32E-07,-0.0021121,1.23E-05,,,
-3.11E-05,6.24E-07,-0.0020811,1.18E-05,,,
-3.07E-05,6.16E-07,-0.0020528,1.26E-05,,,
-3.03E-05,6.08E-07,-0.002027,1.15E-05,,,
