N,T_min,T_max,T_spacing,r_flip,EM_samples,SC_samples,B,EM_sample_spacing,SC_algorithm,T0_anneal,T_c_guess,T_localize,T_localize_range,T_localize_spacing,curses,date_output,dir_out,draw_lattice,file_prefix,k_b,multiprocess,num_bins,plots,print_inp,steps_anneal,steps_burnin,use_cpp
20,1.2,3,0.01,0.1,20000,100,0,1,0,4,2.269,TRUE,0.15,0.005,FALSE,FALSE,data,FALSE,,1,TRUE,10,TRUE,FALSE,20000,5000,TRUE
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,,,,,,,,
1.2,100,2.43E-06,-2.14E-05,-2.36E-05,-2.44E-05,-2.40E-05,-2.35E-05,-2.38E-05,-2.39E-05,-2.35E-05,6.68E-05,3.18E-05,3.18E-05,3.21E-05,3.16E-05,3.24E-05,3.31E-05,3.28E-05,3.29E-05,,,,,,,,
1.21,100,4.25E-06,-2.13E-05,-2.14E-05,-1.93E-05,-2.23E-05,-2.18E-05,-2.21E-05,-1.68E-05,-2.26E-05,7.28E-05,3.13E-05,3.15E-05,3.83E-05,3.47E-05,3.39E-05,3.41E-05,4.01E-05,3.44E-05,,,,,,,,
1.22,100,-6.54E-06,-1.84E-05,-1.92E-05,-1.93E-05,-1.86E-05,-1.60E-05,-1.93E-05,-1.93E-05,-1.94E-05,5.23E-05,2.52E-05,2.62E-05,2.52E-05,2.42E-05,3.05E-05,2.58E-05,2.54E-05,2.70E-05,,,,,,,,
1.23,100,-1.58E-06,-1.74E-05,-1.72E-05,-2.07E-05,-1.70E-05,-1.80E-05,-1.92E-05,-2.01E-05,-2.04E-05,5.84E-05,3.12E-05,3.21E-05,3.65E-05,3.25E-05,3.77E-05,3.36E-05,3.44E-05,3.67E-05,,,,,,,,
1.24,100,-7.28E-06,-2.82E-05,-2.82E-05,-2.49E-05,-2.52E-05,-2.23E-05,-2.56E-05,-2.93E-05,-2.86E-05,5.69E-05,3.18E-05,3.19E-05,3.18E-05,3.73E-05,3.61E-05,3.92E-05,3.26E-05,3.28E-05,,,,,,,,
1.25,100,-8.25E-06,-1.71E-05,-1.92E-05,-1.89E-05,-1.97E-05,-1.88E-05,-1.96E-05,-1.94E-05,-2.00E-05,5.17E-05,3.27E-05,2.53E-05,2.37E-05,2.63E-05,2.51E-05,2.65E-05,2.65E-05,2.70E-05,,,,,,,,
1.26,100,3.18E-05,-2.38E-05,-3.88E-05,-3.90E-05,-3.67E-05,-3.65E-05,-3.94E-05,-3.38E-05,-3.52E-05,0.000218254,5.51E-05,7.54E-05,8.20E-05,8.46E-05,8.08E-05,7.84E-05,5.36E-05,5.32E-05,,,,,,,,
1.27,100,-4.80E-06,-2.90E-05,-3.18E-05,-2.94E-05,-2.63E-05,-3.13E-05,-3.22E-05,-2.97E-05,-3.22E-05,8.35E-05,3.93E-05,4.70E-05,4.60E-05,4.60E-05,4.38E-05,4.58E-05,4.19E-05,4.54E-05,,,,,,,,
1.28,100,-5.79E-07,-2.83E-05,-2.57E-05,-2.77E-05,-3.01E-05,-3.04E-05,-2.61E-05,-2.85E-05,-3.08E-05,6.74E-05,3.66E-05,4.54E-05,4.12E-05,3.38E-05,3.40E-05,4.70E-05,3.71E-05,3.44E-05,,,,,,,,
1.29,100,6.17E-06,-2.76E-05,-2.87E-05,-3.01E-05,-3.07E-05,-2.98E-05,-2.82E-05,-3.01E-05,-3.04E-05,0.000107573,3.35E-05,3.22E-05,3.63E-05,3.64E-05,3.54E-05,4.09E-05,3.40E-05,3.42E-05,,,,,,,,
1.3,100,2.38E-06,-2.79E-05,-2.76E-05,-2.96E-05,-2.96E-05,-3.10E-05,-3.18E-05,-3.29E-05,-3.34E-05,0.000157138,4.72E-05,6.38E-05,5.79E-05,5.81E-05,5.47E-05,5.50E-05,5.65E-05,5.64E-05,,,,,,,,
1.31,100,-8.55E-07,-3.10E-05,-3.19E-05,-3.13E-05,-3.18E-05,-3.11E-05,-2.95E-05,-3.20E-05,-3.14E-05,7.32E-05,3.86E-05,3.97E-05,3.77E-05,3.83E-05,3.70E-05,3.29E-05,3.93E-05,3.67E-05,,,,,,,,
1.32,100,9.84E-06,-4.00E-05,-4.06E-05,-3.94E-05,-3.82E-05,-3.75E-05,-3.73E-05,-3.81E-05,-4.06E-05,8.83E-05,4.65E-05,4.54E-05,4.44E-05,5.25E-05,4.00E-05,4.01E-05,5.10E-05,4.81E-05,,,,,,,,
1.33,100,-7.95E-06,-3.64E-05,-3.64E-05,-3.86E-05,-4.14E-05,-4.15E-05,-3.89E-05,-3.85E-05,-4.16E-05,9.73E-05,4.77E-05,5.20E-05,5.33E-05,5.18E-05,5.23E-05,5.34E-05,4.76E-05,5.51E-05,,,,,,,,
1.34,100,-4.82E-06,-2.98E-05,-3.73E-05,-3.57E-05,-3.44E-05,-3.69E-05,-3.67E-05,-3.60E-05,-3.13E-05,7.72E-05,4.30E-05,4.27E-05,4.17E-05,4.43E-05,4.12E-05,4.20E-05,3.90E-05,4.73E-05,,,,,,,,
1.35,100,-6.22E-06,-2.71E-05,-3.61E-05,-3.37E-05,-3.60E-05,-3.61E-05,-3.52E-05,-3.64E-05,-3.48E-05,7.71E-05,4.68E-05,3.86E-05,4.54E-05,3.71E-05,3.62E-05,3.73E-05,3.83E-05,3.71E-05,,,,,,,,
1.36,100,-1.02E-05,-3.79E-05,-3.48E-05,-3.90E-05,-3.85E-05,-4.08E-05,-4.00E-05,-3.99E-05,-3.50E-05,6.96E-05,4.02E-05,4.77E-05,4.48E-05,4.72E-05,4.13E-05,4.02E-05,3.95E-05,4.38E-05,,,,,,,,
1.37,100,3.14E-05,-4.48E-05,-5.55E-05,-6.38E-05,-5.82E-05,-5.03E-05,-5.63E-05,-6.15E-05,-6.32E-05,0.000159428,6.65E-05,7.10E-05,7.26E-05,7.89E-05,8.24E-05,6.84E-05,7.12E-05,7.24E-05,,,,,,,,
1.38,100,8.84E-06,-4.12E-05,-4.87E-05,-4.60E-05,-5.35E-05,-4.91E-05,-4.81E-05,-5.00E-05,-5.29E-05,0.000137349,6.39E-05,5.83E-05,6.67E-05,5.34E-05,5.91E-05,5.42E-05,5.42E-05,5.36E-05,,,,,,,,
1.39,100,1.08E-05,-4.75E-05,-4.95E-05,-4.90E-05,-4.56E-05,-4.75E-05,-4.91E-05,-5.13E-05,-4.91E-05,0.000146057,5.55E-05,7.79E-05,7.67E-05,6.23E-05,6.27E-05,7.21E-05,7.22E-05,5.38E-05,,,,,,,,
1.4,100,1.80E-05,-4.39E-05,-5.24E-05,-5.55E-05,-5.55E-05,-4.97E-05,-5.89E-05,-5.67E-05,-5.45E-05,0.000137789,4.74E-05,6.48E-05,5.87E-05,6.04E-05,6.48E-05,6.79E-05,6.12E-05,6.78E-05,,,,,,,,
1.41,100,1.49E-05,-6.10E-05,-6.56E-05,-6.11E-05,-6.40E-05,-6.41E-05,-6.40E-05,-6.73E-05,-6.34E-05,0.000151459,6.64E-05,6.87E-05,6.82E-05,6.17E-05,7.41E-05,7.69E-05,7.39E-05,7.17E-05,,,,,,,,
1.42,100,7.03E-06,-4.94E-05,-5.74E-05,-5.42E-05,-5.86E-05,-5.61E-05,-5.36E-05,-5.82E-05,-5.89E-05,0.000134123,5.01E-05,5.93E-05,8.05E-05,7.49E-05,7.27E-05,7.69E-05,7.19E-05,6.74E-05,,,,,,,,
1.43,100,4.27E-05,-4.46E-05,-5.17E-05,-6.44E-05,-6.58E-05,-5.96E-05,-6.37E-05,-6.79E-05,-6.82E-05,0.00018789,7.92E-05,6.40E-05,7.59E-05,8.49E-05,7.00E-05,7.17E-05,8.74E-05,8.82E-05,,,,,,,,
1.44,100,7.59E-06,-5.73E-05,-6.10E-05,-5.35E-05,-5.74E-05,-5.53E-05,-5.29E-05,-5.91E-05,-5.24E-05,0.000118758,5.90E-05,6.84E-05,7.21E-05,6.85E-05,7.22E-05,7.08E-05,7.49E-05,7.11E-05,,,,,,,,
1.45,100,1.84E-05,-4.31E-05,-6.45E-05,-6.43E-05,-5.97E-05,-5.89E-05,-6.66E-05,-6.27E-05,-5.56E-05,0.000228032,7.55E-05,7.78E-05,9.49E-05,7.81E-05,7.77E-05,8.54E-05,8.00E-05,0.000100866,,,,,,,,
1.46,100,2.92E-06,-6.19E-05,-5.94E-05,-6.73E-05,-6.46E-05,-5.87E-05,-6.31E-05,-6.06E-05,-6.64E-05,0.000134705,5.96E-05,7.60E-05,7.23E-05,5.29E-05,7.74E-05,6.57E-05,6.56E-05,7.37E-05,,,,,,,,
